DIA;TEMP;H.R.;INT VIENTO;PREC; FFMC;DMC;DC;ISI ;BUI;FWI
20100331;27;69;8;0;85,13778515;13,6646718;62,166;3,213647774;17,63725633;4,833685891
20100401;28,3;65;6;0;85,91588681;15,20432334;67,964;3,237820309;19,50174098;5,190027036
20100402;27,9;73;2;0;85,96389592;16,37589492;73,69;2,664760198;21,05456621;4,463418564
20100403;18,7;96;3;1;74,58508783;16,49439872;77,76;0,871411381;21,5571024;0,828424499
20100404;19,1;70;11;0;80,58763922;17,40113228;81,902;2,107515265;22,72938814;3,639064444
20100405;19,3;64;10;0;83,5571803;18,49998562;86,08;2,872358759;24,06830189;5,267170595
20100406;21;63;3;0;84,68803887;19,72347742;90,564;2,348617322;25,54089671;4,456798048
20100407;22;66;0;0;84,83877618;20,89864003;95,228;2,061177069;26,98953842;4,026085791
20100408;23;71;5;0;84,88642968;21,94437614;100,072;2,669001201;28,34797564;5,450213299
20100409;22,6;70;8;0;84,93409891;23,008217;104,844;3,12483624;29,71428941;6,536455549
20100410;23,8;63;13;0;85,59804701;24,38672134;109,832;4,406717917;31,36371363;9,175518759
20100411;25,8;63;11;0;86,00040908;25,87594892;115,18;4,215040192;33,13942194;9,119958825
20100412;24,6;70;8;0;86,0484461;27,02956538;120,312;3,64831907;34,61655012;8,258225713
20100413;26,2;70;16;0;86,09649896;28,25500232;125,732;5,496225399;36,1823791;11,94235015
20100414;13,1;100;13;28;11,54172829;10,01372523;73,56700756;5,73804E-06;14,94259498;4,34981E-06
20100415;16,3;90;23;14;22,5142922;4,674182947;53,43750087;0,001053889;7,670924726;0,000553712
20100416;20,3;64;5;0;54,7620724;5,826901651;57,79550087;0,351281367;9,307790988;0,203923939
20100417;20,2;79;5;0;67,82685275;6,496178749;62,13550087;0,750833121;10,30018346;0,460272024
20100418;27,9;76;18;0;80,18884936;7,537575709;67,86150087;2,872603316;11,79882599;3,283516489
20100419;27,6;80;14;10;56,15520104;4,23896819;57,46344795;0,625171952;7,157878927;0,317385349
20100420;19,6;100;3;2;38,17223995;3,046980633;61,69544795;0,028148832;5,424238095;0,012549904
20100421;23,4;57;3;0;67,60475319;4,623290543;66,61144795;0,673929886;7,879374709;0,358890633
20100422;19,3;68;0;0;74,16351613;5,600049071;70,78944795;0,733476945;9,35078169;0,426836448
20100423;16,4;62;16;0;81,52766762;6,595061971;74,44544795;3,016832338;10,7985393;3,281753132
20100424;18;68;11;0;83,15160708;7,509576083;78,38944795;2,865661561;12,11714689;3,333550209
20100425;18,4;92;2;0;79,97076969;7,742992643;82,40544795;1,253924966;12,54022029;0,858045114
20100426;18,3;79;9;0;80,9678536;8,352568967;86,40344795;1,98781479;13,45372848;2,227749271
20100427;18;66;10;0;83,20341176;9,324240211;90,34744795;2,743132408;14,82378623;3,632664122
20100428;19,2;64;3;0;84,21815249;10,41770702;94,50744795;2,203899363;16,33408367;2,997222406
20100429;20,6;62;2;0;84,97627629;11,65152302;98,91944795;2,323078104;18,00199808;3,434223999
20100430;20,8;60;5;0;85,55804257;12,96224678;103,367448;2,928579585;19,73696874;4,72084605
20100501;21,9;62;10;0;85,63282788;14,08788886;107,013448;3,806990021;21,19890262;6,393602861
20100502;22,4;67;5;0;85,68074353;15,08667082;110,749448;2,979108581;22,50803629;5,231076595
20100503;18,7;86;6;0;82,27683482;15,44368224;113,819448;1,99493647;23,06379209;3,452148061
20100504;15,3;100;10;2;54,32748386;13,37013363;116,277448;0,43387426;20,76975452;0,402813498
20100505;20;100;14;1;47,85986459;13,37013363;119,581448;0,252198299;20,89868066;0,235065571
20100506;17,6;97;23;0;52,52667977;13,44238594;122,453448;0,69697146;21,09538255;0,653505343
20100507;16,2;67;3;0;67,65637408;14,17765947;125,073448;0,675078547;22,09413535;0,65196595
20100508;15,8;51;10;0;80,35169436;15,24418602;127,621448;1,953339558;23,47749516;3,413519513
20100509;16,8;55;11;0;84,33254743;16,28160558;130,349448;3,349011727;24,81444427;6,235322165
20100510;17,2;60;2;0;84,87126849;17,22436302;133,149448;2,289851079;26,03041598;4,396375234
20100511;17,1;78;6;0;83,71989589;17,74004619;135,931448;2,398910317;26,75182219;4,705109233
20100512;18,7;79;11;0;83,42512625;18,27556332;139,001448;2,969070755;27,50906777;5,930296041
20100513;20,6;72;19;0;83,57060212;19,05810351;142,413448;4,528150489;28,56096708;8,898981527
20100514;20,3;80;13;0;83,38971865;19,60933327;145,771448;3,268712358;29,34863951;6,763575786
20100515;21,6;81;6;0;83,31644113;20,16481317;149,363448;2,275527269;30,15270952;4,838236541
20100516;13,7;71;5;0;83,36359203;20,71758843;151,533448;2,177019708;30,88031731;4,699259095
20100517;11,7;94;3;5;35,60370178;13,06712423;145,1475532;0,01621376;21,33292725;0,015311435
20100518;16,7;96;23;2;33,60225211;11,25032528;147,8575532;0,027827894;18,9045772;0,024349979
20100519;16,7;100;5;3;18,34303459;7,934939643;147,106968;8,70085E-05;13,98412276;6,34226E-05
20100520;18,7;100;8;0,5;18,36873449;7,934939643;150,176968;0,000102271;14,01817443;7,46543E-05
20100521;18;100;2;0;18,39444288;7,934939643;153,120968;7,63876E-05;14,04969312;5,58339E-05
20100522;19,2;100;8;0;18,42015976;7,934939643;156,280968;0,000104435;14,08235178;7,64391E-05
20100523;20,1;100;11;2;13,15133993;6,405754568;159,602968;1,16137E-05;11,6432393;7,61937E-06
20100524;15,4;100;8;7;3,65247133;2,993095593;148,9767209;4,12108E-08;5,699899094;1,8788E-08
20100525;18;67;14;1;42,92175888;3,804871569;151,9207209;0,118903471;7,16135103;0,0603789
20100526;15,5;87;0;0;48,27078139;4,082804705;154,4147209;0,131641817;7,659318595;0,069112032
