DIA;TEMP;H.R.;INT VIENTO (km/h);PREC;FFMC;DMC;DC;ISI ;BUI;FWI
20090603;12;69;18;0;70,83199616;3,231955248;190,4216672;1,59184617;6,200800852;0,75444875
20090604;15,1;65;11;0;79,03861304;3,897772008;192,8436672;1,798953421;7,42058056;0,929664234
20090605;14,9;66;13;0;82,13714688;4,536580328;195,2296672;2,790266276;8,575013547;2,536776445
20090606;14,2;76;10;0;82,18390843;4,967775944;197,4896672;2,412630489;9,347707031;2,197639254
20090607;12,3;76;8;0;82,23068542;5,345424392;199,4076672;2,19393296;10,01938671;2,009089792
20090608;14;91;2;0;79,81943732;5,505009044;201,6316672;1,234519994;10,30653754;0,757033815
20090609;7;100;2;0;75,15929224;5,505009044;202,5956672;0,854740952;10,30967195;0,524232156
20090610;7;100;0;0;73,58676087;5,505009044;203,5596672;0,713974903;10,31277855;0,437969058
20090611;12;89;5;0;74,79497608;5,674222792;205,4236672;0,974497259;10,61539795;0,607317256
20090612;13;86;5;0;76,25752521;5,906025664;207,4676672;1,063442215;11,02726281;0,676823763
20090613;15;77;10;0;79,20859233;6,340861548;209,8716672;1,738542042;11,79110985;1,554943631
20090614;16;75;4;0;80,75103174;6,842866248;212,4556672;1,508122029;12,66586317;1,207371392
20090615;16;82;1;0;80,79733566;7,204309632;215,0396672;1,303266492;13,29508185;0,922372282
20090616;13;78;7;0,5;80,99352715;7,568571288;217,0836672;1,802504092;13,92354015;1,97409229
20090617;14;79;19;0;81,05604198;7,940935476;219,3076672;3,322854582;14,56353898;4,435554617
20090618;16;76;16;0;81,69853351;8,422859988;221,8916672;3,078385239;15,38564762;4,232917606
20090619;19;74;9;0;82,4885541;9,036538716;225,0156672;2,382103679;16,424113;3,309799076
20090620;22;78;6;0;82,53543167;9,633307812;228,6796672;2,059974297;17,4308912;2,893535931
20090621;12,2;100;6;1,5;62,37188776;9,633307812;230,5796672;0,633587082;17,44458725;0,527477217
20090622;11,7;99;6;0,5;62,76405456;9,648338596;232,3896672;0,646135948;17,48212315;0,538635755
20090623;13,7;56;13;0;77,23246364;10,41302973;234,5596672;1,705583745;18,74558332;2,384991196
20090624;11,1;64;0;0;79,5086222;10,92877351;236,2616672;1,081758252;19,59188842;0,967964638
20090625;11,9;64;5;0;81,77176574;11,47833655;238,1076672;1,784167082;20,48758619;2,737194047
20090626;10,6;74;3;0;81,81840666;11,83555252;239,7196672;1,622180152;21,07036504;2,46522958
20090627;14,1;49;21;0;85,37802711;12,74585438;241,9616672;6,395400564;22,52528804;10,44299606
20090628;13,3;98;23;0;76,51963483;12,77967364;244,0596672;2,680696976;22,60074546;4,710091785
20090629;13,2;96;11;12;21,92849464;5,987209568;215,8299732;0,000466841;11,19783791;0,000299665
20090630;14,4;60;16;0;57,01776954;6,715263168;218,1259732;0,741941075;12,47071265;0,506088913
20090701;15,6;66;5;0;71,20377811;7,414281748;220,6379732;0,837368645;13,67936567;0,602552997
20090702;14,4;48;5;0;80,87894059;8,406548348;222,9339732;1,60884009;15,36464506;1,797831564
20090703;15,6;61;3;0;83,12120733;9,208363778;225,4459732;1,907600023;16,71038419;2,526079694
20090704;16;52;8;0;85,36090761;10,21885066;228,0299732;3,314361158;18,37866466;5,119141697
20090705;17,4;77;11;0;83,98167426;10,74268371;230,8659732;3,195129032;19,24642492;5,078587611
20090706;19,7;84;16;0,03;82,43201102;11,15239379;234,1159732;3,365606498;19,93117438;5,468050845
20090707;17,9;100;11;3;42,74116135;7,854929642;232,7530032;0,099134541;14,48754779;0,073783461
20090708;10,3;80;11;0;57,51248909;8,135620442;234,3110032;0,599362477;14,97164721;0,454881884
20090709;9,4;65;14;0;71,38567599;8,588049692;235,7070032;1,32604474;15,74217331;1,204312685
20090710;11,5;88;0;0;72,40036847;8,774192012;237,4810032;0,679695534;16,06454529;0,538133781
20090711;9,9;69;10;0;77,71998723;9,193997112;238,9670032;1,52354402;16,77453863;1,793393129
20090712;13;68;21;0;81,31497881;9,749469432;241,0110032;3,785931437;17,70810159;5,708952966
20090713;14,8;67;6;0;82,66283012;10,3954276;243,3790032;2,093138534;18,7849546;3,127950696
20090714;12;69;6;0;82,78053341;10,89537731;245,2430032;2,124453597;19,61245499;3,290703871
20090715;7;98;6;0;76,83046722;10,91532113;246,2070032;1,163586886;19,65246529;1,227242214
20090716;9;100;2;0,5;74,05374386;10,91532113;247,5310032;0,806943249;19,66295912;0,723703129
20090717;14;77;5;0;77,52399049;11,34288216;249,7550032;1,165861324;20,37265164;1,317314577
20090718;16;74;3;0;79,92864777;11,89022922;252,3390032;1,312974764;21,27433816;1,791859919
20090719;15;99;8;0,3;75,38695637;11,91004993;254,7430032;1,171630081;21,32730107;1,432650143
20090720;17;71;26;0;81,0017843;12,55625432;257,5070032;4,698912325;22,38386879;7,995784437
20090721;16;100;5;5;29,53718842;7,420403753;249,441763;0,003900571;13,81349637;0,002822831
20090722;9;67;13;24;30,93985052;3,347537812;187,5436537;0,008553909;6,409080358;0,004117563
20090723;6;70;11;0;50,52934861;3,609762112;188,3276537;0,304326829;6,889393832;0,151648049
20090724;8;51;21;0;71,33766008;4,158709602;189,4716537;1,883621231;7,884762937;1,041152931
20090725;11;49;21;0;81,4644356;4,918421412;191,1556537;3,852381654;9,24233149;3,94772171
20090726;13;55;6;0;83,86722315;5,699554362;193,1996537;2,44613454;10,61614539;2,475741694
20090727;15;50;13;0;85,80938227;6,690589862;195,6036537;4,538709395;12,32706665;5,523346661
20090728;15;55;0;0;85,85735622;7,582521812;198,0076537;2,373625783;13,84006233;2,905513834
20090729;12;47;0;0;86,23603532;8,437274542;199,8716537;2,503341487;15,26371358;3,331485316
20090730;12;54;5;0;86,28415013;9,179135402;201,7356537;3,242388297;16,48326597;4,673807548
20090731;11;59;14;0;86,05794546;9,789884112;203,4196537;4,942550442;17,47699944;7,27734306
20090801;9;83;11;0;82,40789827;10,03053196;204,7436537;2,608341042;17,87214263;3,900732881
20090802;14;79;3;0;82,45474921;10,47496664;206,9676537;1,753291617;18,59688717;2,462271299
20090803;15;79;8;0;82,50161562;10,94883408;209,3716537;2,268757578;19,36588065;3,522918819
20090804;17;77;19;0;82,5484975;11,5323035;212,1356537;3,971987204;20,30501029;6,484840081
20090805;18;95;3;1;72,34879508;11,66615248;215,0796537;0,789031934;20,54618664;0,727535586
20090806;16;47;6;3;66,90786393;9,545267052;213,5730026;0,76570335;17,17186849;0,631332642
20090807;11;81;3;0;71,42947315;9,867485696;215,2570026;0,763032061;17,70585848;0,641083011
20090808;14;63;15;0;79,70280448;10,65053727;217,4810026;2,348444513;18,97763065;3,613056874
20090809;12;64;2;0;81,65490301;11,31151296;219,3450026;1,512714734;20,03946301;2,124813381
20090810;13;58;10;0;83,72895333;12,1415168;221,3890026;2,938002464;21,35511603;4,985703887
20090811;17;63;14;0;84,41383101;13,08014153;224,1530026;3,938422751;22,82978147;6,897138588
20090812;20;65;14;0;84,71891779;14,11519359;227,4570026;4,105049151;24,43890303;7,45641173
20090813;22;57;8;0;86,06385089;15,50736314;231,1210026;3,656226041;26,55959943;7,053544755
20090814;27,1;54;17;0;87,63119888;17,32546677;235,7030026;7,187726379;29,27183201;13,18276818
