DIA;TEMP;H.R.;INT VIENTO (km/h);PREC; FFMC;DMC;DC;ISI ;BUI;FWI
20210504;16;72;27;25;51,0863931;7,373659018;38,43281159;0,727189373;9,966787465;0,437888808
20210505;15;71;15;0;69,4830719;7,974988866;40,83681159;1,31015864;10,71746461;0,820814096
20210506;15;56;12;0;80,14897485;8,887351394;43,24081159;2,114303101;11,74155338;2,173968982
20210507;16;57;9;0;83,75891868;9,83435897;45,82481159;2,804730488;12,80082684;3,372928797
20210508;18;67;24;0;84,05749318;10,64613495;48,76881159;6,213247386;13,77476184;7,860837072
20210509;19;73;7;0;84,10488873;11,34508913;51,89281159;2,655309498;14,67135138;3,473486503
20210510;19;76;9;2;70,29938477;10,17992867;55,01681159;0,99399973;13,92048343;0,722613755
20210511;15;55;7;0;79,92898878;11,11302671;57,42081159;1,606167058;14,97872561;1,744404659
20210512;16;62;3;0;82,63910645;11,94991713;60,00481159;1,794169839;15,95584517;2,223284088
20210513;17;67;0;0;83,21062067;12,71919174;62,76881159;1,659027282;16,88475504;2,079112265
20210514;18;62;6;0;84,39068391;13,65396408;65,71281159;2,623769674;17,97217509;3,94148418
20210515;18;68;0;0;84,43818947;14,44114078;68,65681159;1,951805267;18,9287107;2,882930929
20210516;19;69;15;0;84,48571071;15,24364374;71,78081159;4,182415572;19,91449461;6,72723138
20210517;18;63;9;0;84,74453985;16,1538168;74,72481159;3,202124733;20,97294232;5,373880721
20210518;17;73;10;0;84,48232952;16,7832233;77,48881159;3,24959656;21,77557319;5,582923146
20210519;18;71;16;0;84,52986534;17,49660219;80,43281159;4,424935822;22,66653751;7,634243716
20210520;13;90;5;9;31,36410456;9,04724281;67,82545321;0,006393814;13,56942036;0,004579238
20210521;15;92;9;13;16,78131875;4,155071076;48,62071467;5,53291E-05;6,847247218;2,74891E-05
20210522;12;88;24;23;21,91146567;1,585253378;12,71305933;0,000893165;2,417028937;0,000292811
20210523;14;75;27;14;39,30971989;0,588115958;2,224;0,118431735;0,708103548;0,029293865
20210524;15;67;19;0;65,95491835;1,272387854;4,628;1,424851219;1,508165933;0,4093384
20210525;18;66;15;0;78,39402007;2,108763102;7,572;2,074843539;2,486401259;0,686348059
20210526;18;72;2;0;80,80446197;2,797542718;10,516;1,371695909;3,360274109;0,503251579
20210527;19;73;8;0;82,25947103;3,496496902;13,64;2,201710776;4,261802558;0,885665643
20210528;16;86;4;0;81,31048494;3,80482495;16,224;1,606907621;4,79711924;0,679048201
20210529;16;61;14;0;83,78434783;4,663738798;18,808;3,620345516;5,758007044;2,772184134
20210530;14;58;10;0;84,63198426;5,480537662;21,032;3,316308174;6,637234099;2,695507371
20210531;18;56;12;0;85,66808787;6,56290563;23,976;4,231335946;7,792942398;3,97287485
20210601;19;56;12;0;86,07629052;7,601438862;27,1;4,480345268;8,936352297;4,55805298
20210602;19;69;12;0;85,60564944;8,33313273;30,224;4,194649204;9,865892364;4,494712887
